#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
2208137000 ; 4.87788 ; 3.30162 ; 0 ; 0
2208224000 ; 4.57108 ; 3.30223 ; 0 ; 0
2208313000 ; 4.55526 ; 3.30208 ; 0 ; 0
2208401000 ; 4.52847 ; 3.3049 ; 0 ; 0
2208493000 ; 4.90467 ; 3.30215 ; 0 ; 0
2208591000 ; 4.90832 ; 3.30284 ; 0 ; 0
2208690000 ; 4.56986 ; 3.30208 ; 0 ; 0
2208780000 ; 4.54917 ; 3.30147 ; 0 ; 0
2208868000 ; 4.53578 ; 3.30215 ; 0 ; 0
2208965000 ; 4.88519 ; 3.302 ; 0 ; 0
2209056000 ; 4.88397 ; 3.302 ; 0 ; 0
2209162000 ; 4.89858 ; 3.30193 ; 0 ; 0
2209265000 ; 4.90588 ; 3.30215 ; 0 ; 0
2209362000 ; 4.81336 ; 3.30132 ; 0 ; 0
2209450000 ; 4.54917 ; 3.30246 ; 0 ; 0
2209547000 ; 4.55039 ; 3.30215 ; 0 ; 0
2209638000 ; 4.56986 ; 3.30139 ; 0 ; 0
2209734000 ; 4.90588 ; 3.3017 ; 0 ; 0
2209824000 ; 4.79388 ; 3.30215 ; 0 ; 0
2209924000 ; 4.55647 ; 3.302 ; 0 ; 0
2210011000 ; 4.89858 ; 3.30208 ; 0 ; 0
2210108000 ; 4.88762 ; 3.30254 ; 0 ; 0
2210195000 ; 4.90345 ; 3.30132 ; 0 ; 0
2210282000 ; 4.82431 ; 3.302 ; 0 ; 0
2210384000 ; 4.84501 ; 3.30246 ; 0 ; 0
2210482000 ; 4.84014 ; 3.30162 ; 0 ; 0
2210571000 ; 4.88762 ; 3.30292 ; 0 ; 0
2210669000 ; 4.89127 ; 3.30269 ; 0 ; 0
2210760000 ; 4.89249 ; 3.30154 ; 0 ; 0
2210851000 ; 4.92536 ; 3.30383 ; 0 ; 0
2210942000 ; 4.89736 ; 3.30383 ; 0 ; 0
2211040000 ; 4.89614 ; 3.30154 ; 0 ; 0
2211128000 ; 4.80362 ; 3.30246 ; 0 ; 0
2211226000 ; 4.8998 ; 3.30185 ; 0 ; 0
